x,y,z,gtx,gty
-1.50899,0.988603,0.307177,3.0669e-05,-9.5827e-05
-1.46153,0.994885,0.295805,4.4071e-05,-8.1975e-05
-1.41288,1.00306,0.283867,2.7642e-05,-4.0775e-05
-1.36044,1.01202,0.273602,2.0581e-05,-4.1079e-05
-1.30945,1.01858,0.261183,4.2714e-05,-4.9978e-05
-1.26428,1.02214,0.248429,4.9107e-05,-4.5375e-05
-1.21696,1.02618,0.237756,5.1889e-05,-4.4678e-05
-1.16105,1.03317,0.227664,3.3531e-05,-4.3993e-05
-1.10203,1.04613,0.214106,3.6616e-05,-4.5172e-05
-1.05315,1.05313,0.19983,2.2852e-05,-3.72e-05
-1.00438,1.05964,0.189781,4.3903e-05,-6.5392e-05
-0.956457,1.06751,0.178529,6.3592e-05,-4.4433e-05
-0.928999,1.07555,0.168731,5.9926e-05,-6.5267e-05
-0.911941,1.0823,0.16249,8.5656e-05,-3.6022e-05
-0.894051,1.09081,0.148936,7.3642e-05,-3.5536e-05
-0.879443,1.09447,0.146096,0.00010467,-5.7243e-05
-0.863037,1.10092,0.141923,7.9001e-05,-2.8539e-05
-0.850625,1.10558,0.135781,7.8922e-05,-4.2702e-05
-0.842385,1.10646,0.128293,0.00010799,-5.4769e-05
-0.839701,1.1039,0.117263,8.4978e-05,-5.1901e-05
-0.838924,1.10471,0.0995698,0.00010128,-4.922e-05
-0.832884,1.11405,0.0840621,0.00012653,-3.5274e-05
-0.820065,1.12671,0.070729,9.7802e-05,-5.3652e-05
-0.800615,1.14488,0.0581137,0.00012316,-4.2506e-05
-0.776195,1.16085,0.0464016,8.5105e-05,-6.6117e-05
-0.761762,1.17269,0.0367133,9.7512e-05,-6.0429e-05
-0.747999,1.18397,0.026092,6.4814e-05,-3.3529e-05
-0.735302,1.19563,0.013717,5.6658e-05,-5.4028e-05
-0.722495,1.20943,0.000555067,3.4297e-05,-2.3286e-05
-0.709398,1.22239,-0.0130228,1.2249e-05,-1.5741e-05
-0.696025,1.23493,-0.0227412,-6.8666e-06,8.3301e-06
-0.684387,1.24166,-0.0250527,-7.2364e-06,2.6462e-06
-0.66926,1.25132,-0.034667,-1.2596e-05,1.5842e-05
-0.656229,1.26106,-0.0431424,-1.4424e-05,2.3213e-05
-0.643427,1.27113,-0.0515807,-1.5038e-05,2.7966e-05
-0.630858,1.28152,-0.0599769,-3.0636e-05,3.3134e-05
-0.616438,1.29298,-0.062797,-2.7466e-05,1.7273e-05
-0.610632,1.29829,-0.0723053,-3.811e-05,1.9191e-05
-0.602067,1.30634,-0.0800874,-2.9817e-05,4.8177e-05
-0.59288,1.31456,-0.0880987,-2.4554e-05,3.6577e-05
-0.583138,1.31653,-0.0909144,-1.5976e-05,2.4107e-05
-0.579199,1.30314,-0.108729,-1.3385e-05,3.0157e-05
-0.580535,1.29457,-0.122047,-4.6125e-05,1.7825e-05
-0.584046,1.28957,-0.136005,-1.113e-05,2.7508e-05
-0.565315,1.27349,-0.113153,-2.5216e-05,3.1617e-06
-0.543458,1.25926,-0.0893346,-3.3391e-05,3.5004e-05
-0.54049,1.26068,-0.101196,-2.0714e-05,7.2899e-06
-0.550203,1.2513,-0.110247,-2.7994e-05,4.4369e-06
-0.534275,1.23674,-0.097053,-4.74e-06,3.7259e-05
-0.519353,1.22584,-0.0877536,3.757e-06,-1.4351e-05
-0.522986,1.21964,-0.0981319,-2.7141e-05,-4.1444e-06
-0.525596,1.2148,-0.107993,-1.464e-05,1.4041e-05
-0.521124,1.20681,-0.10344,-1.5412e-06,2.6581e-05
-0.511727,1.20061,-0.0984791,-1.4359e-05,1.4537e-05
-0.499708,1.19766,-0.0953368,-4.1882e-05,2.4047e-05
-0.492231,1.19899,-0.095192,-2.4794e-05,-9.0227e-06
-0.487621,1.20219,-0.0977879,-1.2103e-05,2.1246e-05
-0.475234,1.21139,-0.102941,-1.6454e-05,4.2522e-06
-0.460129,1.24117,-0.129455,-4.9969e-05,4.6886e-05
-0.443728,1.27262,-0.153919,-5.3703e-05,2.566e-05
-0.422316,1.30065,-0.166486,-1.8369e-05,4.386e-06
-0.413509,1.32951,-0.182247,-1.6018e-06,1.9785e-05
-0.396488,1.36064,-0.196433,-4.7761e-05,3.6225e-05
-0.376846,1.39421,-0.210707,-2.985e-05,4.2195e-05
-0.359809,1.42779,-0.225655,-4.0788e-05,2.2591e-05
-0.34233,1.45801,-0.240913,-3.1513e-05,4.6764e-05
-0.328598,1.49214,-0.258882,-7.7285e-06,2.888e-05
-0.315436,1.53063,-0.278131,-2.9539e-05,2.2649e-05
-0.305379,1.5684,-0.296314,-5.5355e-05,2.0273e-05
-0.294912,1.60355,-0.315329,-2.8284e-05,3.2537e-05
