 -0.1242236, -0.080592178, 0.64196748;
 -0.12145768, -0.05940035, 0.62758923;
 -0.083913833, 0.023776256, 0.43355453;
 -0.063650228, 0.085869275, 0.32850382;
 -0.51089728, -1.5147665, 3.1410062;
 -0.50517511, -1.4105351, 3.1063449;
 -0.49925068, -1.3010658, 3.0685906;
 -0.48772058, -1.1779939, 2.9978874;
 -0.45601153, -1.0231351, 2.8033011;
 -0.35289875, -0.72545403, 2.1695681;
 -0.21651313, -0.40861389, 1.3312247;
 -0.19630204, -0.33213702, 1.2079672;
 -0.17762738, -0.26667085, 1.0930728;
 -0.10319024, -0.11745588, 0.63489836;
 -0.10103992, -0.097469404, 0.62182909;
 -0.10074668, -0.078004055, 0.61996019;
 -0.10218788, -0.059407059, 0.62903273;
 -0.082503363, -0.018393843, 0.50740319;
 -0.080196425, -0.00525147, 0.49256152;
 -0.077257961, 0.010936371, 0.47520465;
 -0.07384672, 0.024058932, 0.45388731;
 -0.064956754, 0.032904442, 0.39954889;
 -0.061412048, 0.04197643, 0.37727416;
 -0.06090999, 0.052006897, 0.37415668;
 -0.061353572, 0.063510992, 0.37671199;
 -0.41044477, -1.5032576, 3.1195292;
 -0.39887673, -1.3753414, 3.0329533;
 -0.40520817, -1.3047328, 3.0781524;
 -0.39970267, -1.1932322, 3.0361526;
 -0.38561743, -1.0694902, 2.9293337;
 -0.15529355, -0.36249989, 1.1798642;
 -0.14199635, -0.29798505, 1.0788836;
 -0.1362057, -0.25389791, 1.0347062;
 -0.083757289, -0.099840656, 0.63730186;
 -0.082853548, -0.079261631, 0.63032895;
 -0.084197886, -0.060254641, 0.64112473;
 -0.063694358, -0.0053270319, 0.48329487;
 -0.051925912, 0.044198211, 0.39437795;
 -0.049503718, 0.051823974, 0.37558833;
 -0.30244485, -1.4488387, 3.0109658;
 -0.30122674, -1.3589041, 2.9999387;
 -0.30384934, -1.2799437, 3.0212564;
 -0.30434102, -1.1890174, 3.0252037;
 -0.30169064, -1.0951997, 2.9987099;
 -0.12822929, -0.42700517, 1.2754704;
 -0.092493869, -0.25415418, 0.91952485;
 -0.090544581, -0.2205606, 0.90064657;
 -0.087000377, -0.1878771, 0.86518484;
 -0.068598166, -0.12700601, 0.68200886;
 -0.063750781, -0.09968029, 0.63475507;
 -0.062992692, -0.079027325, 0.62719274;
 -0.061437357, -0.057747614, 0.612257;
 -0.046627663, -0.01636151, 0.4644323;
 -0.046086904, -0.0041636522, 0.45808983;
 -0.045385003, 0.0093694236, 0.45067963;
 -0.044484533, 0.023374526, 0.44209;
 -0.042006884, 0.034168996, 0.41782188;
 -0.040945034, 0.045858361, 0.407159;
 -0.20892198, -1.4485991, 3.0104103;
 -0.20802355, -1.3594469, 2.9951172;
 -0.20796518, -1.2675945, 2.9906752;
 -0.20675975, -1.1688195, 2.9719143;
 -0.19574331, -1.0282218, 2.8138597;
 -0.08621677, -0.41544637, 1.2405457;
 -0.062822804, -0.24947995, 0.90402645;
 -0.046354495, -0.12416402, 0.66653848;
 -0.045115903, -0.10236236, 0.64953345;
 -0.043731969, -0.079512931, 0.62997365;
 -0.03482018, -0.033856731, 0.50103509;
 -0.030312741, 0.023246102, 0.43592101;
 -0.028934313, 0.034156356, 0.41651046;
 -0.026140334, 0.052634444, 0.37571445;
 -0.022317627, 0.092321329, 0.32037207;
 -0.11113536, -1.3943508, 2.8938007;
 -0.11013188, -1.3017174, 2.8597877;
 -0.10748126, -1.1840893, 2.7900643;
 -0.1099813, -1.1230828, 2.8541796;
 -0.10067956, -0.95547938, 2.6144352;
 -0.046101019, -0.40152311, 1.1989965;
 -0.034248088, -0.24581932, 0.89110887;
 -0.033754677, -0.21497406, 0.87936008;
 -0.033355802, -0.18815166, 0.86916155;
 -0.025865788, -0.12513353, 0.67198563;
 -0.02519756, -0.10346568, 0.65539992;
 -0.024600066, -0.081019506, 0.64050972;
 -0.02202744, -0.054046258, 0.57734704;
 -0.016387895, 0.0095209489, 0.42579412;
 -0.016424501, 0.022890449, 0.42697898;
 -0.015677245, 0.033532284, 0.40814874;
 -0.014454091, 0.041845601, 0.37475395;
 -0.014286514, 0.05182438, 0.37057847;
 -0.027330996, -1.1823351, 2.6000068;
 -0.025627738, -1.0333402, 2.4376438;
 -0.0094070025, -0.24800742, 0.90002853;
