x,y,z,gtx,gty
1.14488,-0.686594,0.10504,0,0
1.1656,-0.716636,0.0749571,0,0
1.18666,-0.731381,0.0550623,0,0
1.18666,-0.731381,0.0550623,0,0
1.18666,-0.731381,0.0550623,0,0
1.18666,-0.731381,0.0550623,0,0
1.20881,-0.764278,0.0131891,0,0
1.24223,-0.752204,0.0191414,0,0
1.24223,-0.752204,0.0191414,0,0
1.24223,-0.752204,0.0191414,0,0
1.27373,-0.749334,0.0169633,0,0
1.30511,-0.745919,0.0146348,0,0
1.33857,-0.741475,0.0178963,0,0
1.37126,-0.744046,0.0176698,0,0
1.40158,-0.746848,0.0146571,0,0
1.43386,-0.745962,0.0166796,0,0
1.46336,-0.758856,0.00793875,0,0
1.4922,-0.772064,-0.0027066,0,0
1.51457,-0.792104,-0.0299709,0,0
1.54248,-0.790532,-0.0296325,0,0
1.57333,-0.798354,-0.0350737,0,0
1.6022,-0.804367,-0.0328796,0,0
1.6292,-0.812445,-0.0288968,0,0
1.64459,-0.837288,-0.0759502,0,0
1.65966,-0.862272,-0.118371,0,0
1.68274,-0.874321,-0.115323,0,0
1.69529,-0.895454,-0.161328,0,0
1.69529,-0.895454,-0.161328,0,0
1.69529,-0.895454,-0.161328,0,0
1.71657,-0.921058,-0.175538,0,0
1.73688,-0.945485,-0.192572,0,0
1.75677,-0.969635,-0.208269,0,0
1.77627,-0.996177,-0.180932,0,0
1.79636,-1.01787,-0.186882,0,0
1.79636,-1.01787,-0.186882,0,0
1.81604,-1.04341,-0.182964,0,0
1.81604,-1.04341,-0.182964,0,0
1.83687,-1.06152,-0.182862,0,0
1.83687,-1.06152,-0.182862,0,0
1.85652,-1.07721,-0.182163,0,0
1.87648,-1.08786,-0.188631,0,0
1.88687,-1.09329,-0.195612,0,0
1.88687,-1.09329,-0.195612,0,0
1.88965,-1.07332,-0.218628,0,0
1.90068,-1.06857,-0.239484,0,0
1.91855,-1.07839,-0.265762,0,0
1.94006,-1.09871,-0.277155,0,0
1.95412,-1.12472,-0.303177,0,0
1.95595,-1.15075,-0.334206,0,0
1.93842,-1.16008,-0.361377,0,0
1.9267,-1.1582,-0.397891,0,0
1.9267,-1.1582,-0.397891,0,0
1.93348,-1.16104,-0.436623,0,0
1.93348,-1.16104,-0.436623,0,0
1.93348,-1.16104,-0.436623,0,0
1.93348,-1.16104,-0.436623,0,0
1.93348,-1.16104,-0.436623,0,0
1.93348,-1.16104,-0.436623,0,0
1.93314,-1.17162,-0.474004,0,0
1.93571,-1.17809,-0.510649,0,0
1.93571,-1.17809,-0.510649,0,0
1.93571,-1.17809,-0.510649,0,0
1.93571,-1.17809,-0.510649,0,0
1.93571,-1.17809,-0.510649,0,0
1.93571,-1.17809,-0.510649,0,0
1.93571,-1.17809,-0.510649,0,0
1.93571,-1.17809,-0.510649,0,0
1.93571,-1.17809,-0.510649,0,0
1.92474,-1.20914,-0.532457,0,0
1.91482,-1.23693,-0.555602,0,0
1.90587,-1.26076,-0.572818,0,0
1.87972,-1.29925,-0.573758,0,0
1.87972,-1.29925,-0.573758,0,0
1.86196,-1.33383,-0.590624,0,0
1.84374,-1.36737,-0.605005,0,0
1.8189,-1.40656,-0.618137,0,0
1.8189,-1.40656,-0.618137,0,0
1.79955,-1.43825,-0.63573,0,0
1.79955,-1.43825,-0.63573,0,0
1.78463,-1.46583,-0.653218,0,0
1.78463,-1.46583,-0.653218,0,0
1.77491,-1.48966,-0.672584,0,0
1.78829,-1.50001,-0.694347,0,0
1.7674,-1.53187,-0.710753,0,0
1.7674,-1.53187,-0.710753,0,0
1.74458,-1.56345,-0.72653,0,0
1.74458,-1.56345,-0.72653,0,0
1.74458,-1.56345,-0.72653,0,0
1.74458,-1.56345,-0.72653,0,0
1.76213,-1.57895,-0.763127,0,0
1.76213,-1.57895,-0.763127,0,0
1.76213,-1.57895,-0.763127,0,0
1.7474,-1.60185,-0.782457,0,0
1.74411,-1.61843,-0.794162,0,0
1.74411,-1.61843,-0.794162,0,0
1.74411,-1.61843,-0.794162,0,0
1.74411,-1.61843,-0.794162,0,0
1.73647,-1.63879,-0.825733,0,0
1.73179,-1.65769,-0.856314,0,0
1.71991,-1.67565,-0.885845,0,0
1.71401,-1.69347,-0.915601,0,0
1.7116,-1.71138,-0.944372,0,0
1.7098,-1.73051,-0.973574,0,0
1.70956,-1.7496,-1.00212,0,0
1.71684,-1.76874,-1.02816,0,0
1.7278,-1.78929,-1.05275,0,0
1.7418,-1.80996,-1.07602,0,0
1.7415,-1.82883,-1.10466,0,0
1.7415,-1.82883,-1.10466,0,0
1.73877,-1.84768,-1.13405,0,0
1.73877,-1.84768,-1.13405,0,0
1.73388,-1.866,-1.16384,0,0
1.73388,-1.866,-1.16384,0,0
1.73069,-1.88479,-1.19262,0,0
1.72121,-1.90161,-1.22418,0,0
1.72121,-1.90161,-1.22418,0,0
1.72121,-1.90161,-1.22418,0,0
1.70493,-1.9159,-1.25824,0,0
1.699,-1.93325,-1.28772,0,0
1.67941,-1.94384,-1.32386,0,0
1.67941,-1.94384,-1.32386,0,0
1.66594,-1.95588,-1.35766,0,0
1.66868,-1.97536,-1.38324,0,0
1.66934,-1.99358,-1.41001,0,0
1.66797,-2.00874,-1.43735,0,0
1.66797,-2.00874,-1.43735,0,0
1.66567,-2.01831,-1.46174,0,0
1.66661,-2.03476,-1.48841,0,0
1.6652,-2.04569,-1.51564,0,0
1.6652,-2.04569,-1.51564,0,0
1.65038,-2.04259,-1.54209,0,0
1.63395,-2.03821,-1.56839,0,0
1.6196,-2.03546,-1.5962,0,0
1.60761,-2.03547,-1.62522,0,0
